	"MYC2"	"AtAIB"	"TAT3"	"JAZ1"	"JAZ10"	"DIN11"	"At1g66690"	"At1g53885"	"PDF1.2b"
"jut_MJ_3h"	3.38	2.66	2.41	0.29	5.6	0.41	4.15	3.54	13.03
"jut_MJ_3h"	3.82	2.72	2.43	0.28	2.94	0.5	4.26	2.83	18.02
"jut_MJ_6h"	3.08	1.97	4.32	1.5	5.51	0.96	4.69	2.14	23.97
"jut_MJ_6h"	3.77	2.25	4.43	0.89	2.8	0.64	3.5	2.44	17.14
"jut_MJ_6h"	3.04	1.42	4.43	1.39	2.6	0.7	3.52	2.97	23.96
"DM_mock_0.0h"	0.43	0.72	0.04	0.72	0.78	0.35	1.59	1.42	5.91
"DM_mock_0.0h"	0.4	0.65	0.02	1.28	1.16	0.37	1.84	1.37	6.61
"DM_mock_0.0h"	0.55	0.63	0.03	1.38	1.14	0.48	1.46	1.46	6.51
"DM_mock_0.5h"	0.31	0.7	0.02	1.35	0.69	3.6	3.23	2.68	8.39
"DM_mock_0.5h"	0.45	0.73	0.15	1.41	0.67	3.38	4.02	2.77	5.54
"DM_mock_0.5h"	0.43	0.71	0.25	1.36	0.78	4.04	3.61	3.02	6.85
"DM_mock_1h"	0.21	2.82	0.06	4.2	1.66	0.12	3.04	5.12	15.18
"DM_mock_1h"	0.25	2.35	0.05	6.79	2.11	0.15	3.56	4.18	14
"DM_mock_1h"	0.25	2.9	0.06	4.46	1.21	0.14	4.32	3.28	17.89
"DM_mock_3h"	0.63	2.45	0.07	0.23	0.18	0.1	4.12	5.72	18.19
"DM_mock_3h"	0.54	2.46	0.05	0.23	0.36	0.15	5.18	4.94	17.32
"DM_mock_3h"	0.49	3.62	0.08	0.12	0.27	0.14	4.48	6.29	20.63
"DM_mock_6h"	0.41	2.36	0.09	0.39	0.27	0.53	3.31	2.96	26.06
"DM_mock_6h"	0.39	2.17	0.1	0.33	0.22	0.88	5.84	3.17	29.69
"DM_mock_6h"	0.39	2.45	0.05	0.33	0.12	0.71	5.05	3.11	38.16
"DM_MJ_0.0h"	0.43	0.72	0.04	0.72	0.78	0.35	1.59	1.42	5.91
"DM_MJ_0.0h"	0.4	0.65	0.02	1.28	1.16	0.37	1.84	1.37	6.61
"DM_MJ_0.0h"	0.55	0.63	0.03	1.38	1.14	0.48	1.46	1.46	6.51
"DM_MJ_0.5h"	2.2	4.35	1.8	21.37	10.99	7.13	3.36	11.89	6.96
"DM_MJ_0.5h"	2.15	4.89	1.08	32.25	15.04	6.36	3.23	11.1	5.03
"DM_MJ_0.5h"	2.28	4.98	1.09	24.22	12.06	6.48	3.12	14.09	6
"DM_MJ_1h"	5.52	3.61	0.48	1.75	3.87	0.66	4.5	17.86	12.21
"DM_MJ_1h"	5.44	3.65	0.38	1.35	1.36	0.51	3.42	16.31	13.28
"DM_MJ_1h"	5.26	3.45	0.33	1.94	1.9	0.53	3.93	13.68	17.35
"DM_MJ_3h"	1.63	4.4	0.64	1.52	1.16	1.4	4.97	3.5	29.26
"DM_MJ_3h"	1.75	4.18	0.56	1.82	1.75	2.7	5.19	2.92	29.59
"DM_MJ_3h"	1.54	3.6	0.52	1.48	1.11	1.63	5.57	4.34	25.65
"DM_MJ_6h"	1.24	2.26	0.29	0.33	0.68	1.18	4.23	4.17	19
"DM_MJ_6h"	1.3	2.26	0.23	0.37	2.2	2.06	4.19	2.99	26.7
"DM_MJ_6h"	1.4	1.61	0.24	0.46	2.78	2.6	5.23	4.99	24.32
"coi1-16_mock_0.0h"	0.1	0.14	0.08	0.05	0.02	0.24	0.29	0.49	0.87
"coi1-16_mock_0.0h"	0.11	0.05	0.09	0.05	0.02	0.23	0.38	0.32	0.94
"coi1-16_mock_0.0h"	0.11	0.14	0.04	0.05	0.02	0.25	0.39	0.18	0.83
"coi1-16_mock_0.5h"	0.27	0.16	0.04	0.17	0.05	0.19	0.83	0.09	1.19
"coi1-16_mock_0.5h"	0.24	0.15	0.04	0.15	0.06	0.15	0.66	0.01	1.17
"coi1-16_mock_0.5h"	0.21	0.14	0.07	0.14	0.07	0.15	0.64	0	0.76
"coi1-16_mock_1h"	0.25	0.25	0.01	0.14	0.05	0.43	0.3	1.06	0.7
"coi1-16_mock_1h"	0.22	0.16	0.01	0.11	0.05	0.27	0.26	1.59	0.7
"coi1-16_mock_1h"	0.24	0.2	0.03	0.13	0.06	0.38	0.42	2.17	0.84
"coi1-16_mock_3h"	0.13	0.17	0.04	0.08	0.06	0.27	0.69	2.67	1.91
"coi1-16_mock_3h"	0.15	0.13	0.03	0.07	0.06	0.15	0.63	2.47	2.19
"coi1-16_mock_3h"	0.12	0.16	0.01	0.06	0.04	0.19	0.73	2.04	2.05
"coi1-16_mock_6h"	0.23	0.19	0.11	0.12	0.15	0.28	1	2.11	3.37
"coi1-16_mock_6h"	0.2	0.25	0.07	0.12	0.16	0.31	1.12	1.97	3.36
"coi1-16_mock_6h"	0.22	0.24	0.08	0.12	0.11	0.41	1.16	1.82	3.53
"coi1-16_MJ_0.0h"	0.1	0.14	0.08	0.05	0.02	0.24	0.29	0.49	0.87
"coi1-16_MJ_0.0h"	0.11	0.05	0.09	0.05	0.02	0.23	0.38	0.32	0.94
"coi1-16_MJ_0.0h"	0.11	0.14	0.04	0.05	0.02	0.25	0.39	0.18	0.83
"coi1-16_MJ_0.5h"	0.34	0.17	0.34	0.32	0.06	0.27	0.4	0.14	0.66
"coi1-16_MJ_0.5h"	0.32	0.15	0.21	0.27	0.07	0.24	0.22	0.08	0.48
"coi1-16_MJ_0.5h"	0.26	0.13	0.21	0.24	0.07	0.18	0.17	0.1	0.43
"coi1-16_MJ_1h"	0.46	0.3	0.13	0	0.1	0.15	0.46	1.5	0.94
"coi1-16_MJ_1h"	0.49	0.26	0.2	0.29	0.09	0.12	0.49	2	0.77
"coi1-16_MJ_1h"	0.5	0.29	0.17	0.31	0.09	0.16	0.35	2.25	0.94
"coi1-16_MJ_3h"	0.58	0.28	0.29	0.31	0.05	0.43	0.49	2.79	1.87
"coi1-16_MJ_3h"	0.54	0.3	0.31	0.33	0.07	0.38	0.66	2.38	2.2
"coi1-16_MJ_3h"	0.55	0.27	0.24	0.31	0.05	0.38	0.4	2.43	1.77
"coi1-16_MJ_6h"	0.64	0.31	0.32	0.28	0.1	0.94	0.7	2.92	2.11
"coi1-16_MJ_6h"	0.63	0.29	0.38	0.27	0.07	0.84	0.64	2.74	1.89
"coi1-16_MJ_6h"	0.63	0.34	0.34	0.28	0.07	0.75	0.53	2.24	2.53
"jai3-1_mock_0.0h"	0.1	0.25	0.04	0.08	0.05	0.4	0.18	0.38	0.52
"jai3-1_mock_0.0h"	0.09	0.22	0.03	0.07	0.03	0.38	0.14	0.25	0.35
"jai3-1_mock_0.0h"	0.07	0.18	0.02	0.06	0.03	0.35	0.14	0.16	0.32
