mutant: coi1 coi1 coi1 coi1 coi1 wt wt wt wt wt wt
condition: control jasmonate jasmonate wounding wounding control jasmonate jasmonate jasmonate wounding wounding
mtime:    0.00   60.00  360.00   30.00  360.00    0.00   60.00  360.00 2880.00   30.00  360.00
At4g35770: 1.49833333333333343e+02 1.01299999999999997e+02 3.39500000000000028e+01 1.25099999999999994e+02 2.11999999999999993e+01 4.94660000000000025e+02 1.94199999999999989e+02 1.45999999999999996e+01 1.33599999999999994e+02 1.78699999999999989e+02 3.34500000000000028e+01
At1g17740: 2.21333333333333343e+02 2.44099999999999994e+02 5.61799999999999955e+02 1.98800000000000011e+02 6.80150000000000091e+02 2.34719999999999999e+02 4.81199999999999989e+02 1.05376666666666665e+03 1.08279999999999995e+03 2.57300000000000011e+02 6.89299999999999955e+02
At2g21130: 7.37999999999999972e+01 4.93999999999999986e+01 2.11699999999999989e+02 5.10000000000000000e+01 2.69649999999999977e+02 6.37599999999999980e+01 5.27999999999999972e+01 2.66733333333333348e+02 4.87999999999999972e+01 3.68999999999999986e+01 3.17949999999999989e+02
At2g28900: 2.41099999999999994e+02 2.71800000000000011e+02 8.53899999999999977e+02 1.36500000000000000e+02 1.08875000000000000e+03 2.14959999999999980e+02 1.91099999999999994e+02 1.12140000000000009e+03 2.91399999999999977e+02 1.32599999999999994e+02 1.05209999999999991e+03
At2g42530: 5.50333333333333314e+01 2.16099999999999994e+02 3.18350000000000023e+02 8.62000000000000028e+01 6.37100000000000023e+02 4.37599999999999980e+01 1.08500000000000000e+02 6.37166666666666629e+02 7.07000000000000028e+01 4.58999999999999986e+01 7.64399999999999977e+02
At4g24360: 8.87000000000000028e+01 5.07999999999999972e+01 7.84250000000000000e+02 4.82999999999999972e+01 3.81700000000000045e+02 1.42699999999999989e+02 5.81299999999999955e+02 2.18193333333333339e+03 9.38700000000000045e+02 2.02699999999999989e+02 4.84000000000000000e+02
At5g63790: 9.70999999999999943e+01 3.26300000000000011e+02 3.42500000000000000e+02 4.36699999999999989e+02 2.74399999999999977e+02 9.86200000000000045e+01 4.15399999999999977e+02 3.32233333333333348e+02 2.61100000000000023e+02 4.56199999999999989e+02 2.53099999999999994e+02
At1g20440: 9.61299999999999955e+02 2.54500000000000000e+03 1.00204999999999995e+03 1.51140000000000009e+03 9.27000000000000000e+02 8.69080000000000041e+02 1.86900000000000000e+03 4.09800000000000011e+02 1.93500000000000000e+02 1.71200000000000000e+03 6.94000000000000000e+02
At2g26690: 5.22799999999999955e+02 3.81899999999999977e+02 2.00949999999999989e+02 2.83699999999999989e+02 1.89150000000000006e+02 4.75040000000000020e+02 4.84199999999999989e+02 1.53233333333333348e+02 2.47400000000000006e+02 2.55300000000000011e+02 2.09149999999999977e+02
At2g40900: 8.68999999999999915e+01 5.42000000000000028e+01 2.80000000000000000e+01 3.15000000000000000e+01 2.85000000000000000e+01 5.98800000000000026e+01 3.62000000000000028e+01 1.69666666666666686e+01 2.51000000000000014e+01 2.70000000000000000e+01 1.86000000000000014e+01
